ds,y
2000-01-01,3448.0
2000-02-01,3181.0
2000-03-01,3783.0
2000-04-01,3317.0
2000-05-01,4123.0
2000-06-01,3329.0
2000-07-01,4282.0
2000-08-01,3387.0
2000-09-01,3807.0
2000-10-01,4117.0
2000-11-01,3931.0
2000-12-01,3789.0
2001-01-01,3348.0
2001-02-01,3148.0
2001-03-01,3970.0
2001-04-01,3565.0
2001-05-01,4128.0
2001-06-01,3715.0
2001-07-01,4288.0
2001-08-01,3351.0
2001-09-01,3939.0
2001-10-01,4250.0
2001-11-01,4022.0
2001-12-01,3989.0
2002-01-01,3063.0
2002-02-01,2892.0
2002-03-01,3380.0
2002-04-01,3142.0
2002-05-01,3731.0
2002-06-01,3586.0
2002-07-01,3960.0
2002-08-01,3007.0
2002-09-01,3436.0
2002-10-01,3859.0
2002-11-01,3529.0
2002-12-01,3023.0
2003-01-01,3073.0
2003-02-01,2968.0
2003-03-01,3060.0
2003-04-01,3106.0
2003-05-01,3255.0
2003-06-01,3139.0
2003-07-01,3321.0
2003-08-01,2837.0
2003-09-01,3393.0
2003-10-01,3631.0
2003-11-01,3325.0
2003-12-01,3527.0
2004-01-01,2969.0
2004-02-01,2728.0
2004-03-01,3271.0
2004-04-01,3183.0
2004-05-01,3378.0
2004-06-01,3229.0
2004-07-01,3760.0
2004-08-01,2926.0
2004-09-01,3663.0
2004-10-01,3716.0
2004-11-01,3449.0
2004-12-01,3792.0
2005-01-01,2788.0
2005-02-01,3461.0
2005-03-01,3560.0
2005-04-01,3320.0
2005-05-01,3321.0
2005-06-01,3499.0
2005-07-01,3631.0
2005-08-01,2965.0
2005-09-01,3921.0
2005-10-01,3503.0
2005-11-01,3205.0
2005-12-01,3549.0
2006-01-01,2893.0
2006-02-01,2901.0
2006-03-01,4165.0
2006-04-01,2874.0
2006-05-01,3032.0
2006-06-01,2853.0
2006-07-01,3611.0
2006-08-01,2993.0
2006-09-01,3233.0
2006-10-01,3286.0
2006-11-01,3073.0
2006-12-01,3419.0
2007-01-01,2735.0
2007-02-01,2643.0
2007-03-01,2836.0
2007-04-01,3292.0
2007-05-01,3529.0
2007-06-01,3225.0
2007-07-01,3622.0
2007-08-01,2943.0
2007-09-01,3414.0
2007-10-01,3695.0
2007-11-01,3444.0
2007-12-01,3184.0
2008-01-01,2945.0
2008-02-01,3171.0
2008-03-01,2910.0
2008-04-01,3339.0
2008-05-01,3428.0
2008-06-01,3374.0
2008-07-01,3500.0
2008-08-01,2870.0
2008-09-01,3271.0
2008-10-01,3683.0
2008-11-01,2983.0
2008-12-01,2888.0
2009-01-01,2482.0
2009-02-01,3480.0
2009-03-01,2744.0
2009-04-01,2953.0
2009-05-01,3240.0
2009-06-01,2876.0
2009-07-01,3622.0
2009-08-01,2749.0
2009-09-01,3252.0
2009-10-01,3567.0
2009-11-01,3294.0
2009-12-01,3202.0
2010-01-01,2346.0
2010-02-01,2539.0
2010-03-01,3309.0
2010-04-01,3202.0
2010-05-01,2974.0
2010-06-01,3193.0
2010-07-01,3712.0
2010-08-01,2843.0
2010-09-01,3524.0
2010-10-01,3500.0
2010-11-01,3329.0
2010-12-01,3413.0
2011-01-01,2775.0
2011-02-01,2903.0
2011-03-01,3523.0
2011-04-01,3529.0
2011-05-01,4143.0
2011-06-01,3212.0
2011-07-01,4074.0
2011-08-01,3322.0
2011-09-01,3730.0
2011-10-01,3830.0
2011-11-01,3567.0
2011-12-01,3506.0
2012-01-01,3176.0
2012-02-01,3102.0
2012-03-01,3739.0
2012-04-01,3667.0
2012-05-01,4114.0
2012-06-01,4018.0
2012-07-01,4281.0
2012-08-01,3452.0
2012-09-01,3962.0
2012-10-01,4146.0
2012-11-01,3839.0
2012-12-01,3395.0
2013-01-01,3316.0
2013-02-01,3467.0
2013-03-01,3712.0
2013-04-01,4008.0
2013-05-01,3703.0
2013-06-01,4284.0
2013-07-01,4641.0
2013-08-01,3387.0
2013-09-01,4130.0
2013-10-01,4533.0
2013-11-01,4043.0
2013-12-01,3764.0
2014-01-01,3410.0
2014-02-01,3315.0
2014-03-01,4027.0
2014-04-01,3840.0
2014-05-01,4346.0
2014-06-01,3833.0
2014-07-01,4443.0
2014-08-01,3379.0
2014-09-01,4137.0
2014-10-01,4251.0
2014-11-01,3904.0
2014-12-01,3919.0
2015-01-01,3326.0
2015-02-01,3090.0
2015-03-01,3888.0
2015-04-01,4022.0
2015-05-01,3915.0
2015-06-01,3898.0
2015-07-01,4729.0
2015-08-01,3431.0
2015-09-01,4015.0
2015-10-01,4467.0
2015-11-01,3992.0
2015-12-01,3862.0
2016-01-01,3297.0
2016-02-01,3383.0
2016-03-01,3653.0
2016-04-01,4209.0
2016-05-01,3833.0
2016-06-01,4260.0
2016-07-01,4478.0
2016-08-01,3400.0
2016-09-01,4289.0
2016-10-01,4297.0
2016-11-01,3998.0
2016-12-01,3700.0
2017-01-01,3320.0
2017-02-01,3223.0
2017-03-01,4106.0
2017-04-01,3533.0
2017-05-01,4314.0
2017-06-01,3818.0
2017-07-01,4355.0
2017-08-01,3267.0
2017-09-01,4017.0
2017-10-01,4198.0
2017-11-01,3809.0
2017-12-01,3494.0
2018-01-01,3328.0
2018-02-01,3109.0
2018-03-01,3796.0
2018-04-01,4016.0
2018-05-01,3953.0
2018-06-01,4284.0
2018-07-01,4547.0
