ds,y
2000-01-01,321.0
2000-02-01,329.0
2000-03-01,414.0
2000-04-01,441.0
2000-05-01,568.0
2000-06-01,555.0
2000-07-01,610.0
2000-08-01,525.0
2000-09-01,557.0
2000-10-01,493.0
2000-11-01,461.0
2000-12-01,403.0
2001-01-01,354.0
2001-02-01,343.0
2001-03-01,426.0
2001-04-01,454.0
2001-05-01,655.0
2001-06-01,560.0
2001-07-01,755.0
2001-08-01,510.0
2001-09-01,497.0
2001-10-01,581.0
2001-11-01,436.0
2001-12-01,377.0
2002-01-01,328.0
2002-02-01,316.0
2002-03-01,414.0
2002-04-01,432.0
2002-05-01,537.0
2002-06-01,675.0
2002-07-01,711.0
2002-08-01,479.0
2002-09-01,509.0
2002-10-01,467.0
2002-11-01,448.0
2002-12-01,304.0
2003-01-01,282.0
2003-02-01,232.0
2003-03-01,374.0
2003-04-01,429.0
2003-05-01,510.0
2003-06-01,566.0
2003-07-01,538.0
2003-08-01,461.0
2003-09-01,452.0
2003-10-01,466.0
2003-11-01,359.0
2003-12-01,383.0
2004-01-01,286.0
2004-02-01,240.0
2004-03-01,321.0
2004-04-01,388.0
2004-05-01,476.0
2004-06-01,491.0
2004-07-01,646.0
2004-08-01,584.0
2004-09-01,541.0
2004-10-01,465.0
2004-11-01,360.0
2004-12-01,416.0
2005-01-01,244.0
2005-02-01,229.0
2005-03-01,299.0
2005-04-01,422.0
2005-05-01,521.0
2005-06-01,627.0
2005-07-01,558.0
2005-08-01,462.0
2005-09-01,678.0
2005-10-01,451.0
2005-11-01,496.0
2005-12-01,487.0
2006-01-01,291.0
2006-02-01,237.0
2006-03-01,275.0
2006-04-01,301.0
2006-05-01,471.0
2006-06-01,406.0
2006-07-01,671.0
2006-08-01,422.0
2006-09-01,407.0
2006-10-01,500.0
2006-11-01,384.0
2006-12-01,386.0
2007-01-01,218.0
2007-02-01,217.0
2007-03-01,293.0
2007-04-01,396.0
2007-05-01,482.0
2007-06-01,444.0
2007-07-01,435.0
2007-08-01,344.0
2007-09-01,385.0
2007-10-01,405.0
2007-11-01,324.0
2007-12-01,333.0
2008-01-01,260.0
2008-02-01,279.0
2008-03-01,210.0
2008-04-01,315.0
2008-05-01,445.0
2008-06-01,424.0
2008-07-01,459.0
2008-08-01,402.0
2008-09-01,360.0
2008-10-01,373.0
2008-11-01,281.0
2008-12-01,230.0
2009-01-01,184.0
2009-02-01,273.0
2009-03-01,202.0
2009-04-01,357.0
2009-05-01,454.0
2009-06-01,371.0
2009-07-01,476.0
2009-08-01,376.0
2009-09-01,388.0
2009-10-01,360.0
2009-11-01,312.0
2009-12-01,312.0
2010-01-01,147.0
2010-02-01,200.0
2010-03-01,291.0
2010-04-01,377.0
2010-05-01,320.0
2010-06-01,440.0
2010-07-01,619.0
2010-08-01,416.0
2010-09-01,456.0
2010-10-01,432.0
2010-11-01,319.0
2010-12-01,223.0
2011-01-01,255.0
2011-02-01,264.0
2011-03-01,373.0
2011-04-01,505.0
2011-05-01,636.0
2011-06-01,399.0
2011-07-01,532.0
2011-08-01,402.0
2011-09-01,441.0
2011-10-01,393.0
2011-11-01,359.0
2011-12-01,315.0
2012-01-01,273.0
2012-02-01,233.0
2012-03-01,424.0
2012-04-01,394.0
2012-05-01,596.0
2012-06-01,577.0
2012-07-01,632.0
2012-08-01,545.0
2012-09-01,532.0
2012-10-01,477.0
2012-11-01,394.0
2012-12-01,248.0
2013-01-01,254.0
2013-02-01,263.0
2013-03-01,284.0
2013-04-01,440.0
2013-05-01,454.0
2013-06-01,580.0
2013-07-01,812.0
2013-08-01,514.0
2013-09-01,531.0
2013-10-01,510.0
2013-11-01,388.0
2013-12-01,356.0
2014-01-01,324.0
2014-02-01,309.0
2014-03-01,460.0
2014-04-01,455.0
2014-05-01,536.0
2014-06-01,558.0
2014-07-01,654.0
2014-08-01,432.0
2014-09-01,534.0
2014-10-01,529.0
2014-11-01,401.0
2014-12-01,331.0
2015-01-01,263.0
2015-02-01,262.0
2015-03-01,376.0
2015-04-01,495.0
2015-05-01,487.0
2015-06-01,560.0
2015-07-01,708.0
2015-08-01,481.0
2015-09-01,509.0
2015-10-01,475.0
2015-11-01,430.0
2015-12-01,384.0
2016-01-01,298.0
2016-02-01,305.0
2016-03-01,299.0
2016-04-01,447.0
2016-05-01,502.0
2016-06-01,592.0
2016-07-01,623.0
2016-08-01,469.0
2016-09-01,627.0
2016-10-01,448.0
2016-11-01,402.0
2016-12-01,317.0
2017-01-01,242.0
2017-02-01,277.0
2017-03-01,407.0
2017-04-01,365.0
2017-05-01,545.0
2017-06-01,568.0
2017-07-01,611.0
2017-08-01,447.0
2017-09-01,430.0
2017-10-01,490.0
2017-11-01,373.0
2017-12-01,307.0
2018-01-01,290.0
2018-02-01,265.0
2018-03-01,331.0
2018-04-01,519.0
2018-05-01,528.0
2018-06-01,622.0
2018-07-01,714.0
2018-08-01,456.0
2018-09-01,528.0
2018-10-01,529.0
2018-11-01,407.0
2018-12-01,282.0
2019-01-01,243.0
2019-02-01,289.0
2019-03-01,369.0
2019-04-01,426.0
2019-05-01,416.0
2019-06-01,615.0
2019-07-01,762.0
2019-08-01,451.0
2019-09-01,533.0
2019-10-01,500.0
2019-11-01,383.0
2019-12-01,326.0
2020-01-01,301.0
2020-02-01,306.0
2020-03-01,270.0
2020-04-01,314.0
2020-05-01,416.0
2020-06-01,496.0
2020-07-01,717.0
2020-08-01,487.0
2020-09-01,555.0
2020-10-01,489.0
2020-11-01,297.0
2020-12-01,270.0
