ds,y
2000-01-01,434.0
2000-02-01,419.0
2000-03-01,509.0
2000-04-01,557.0
2000-05-01,675.0
2000-06-01,685.0
2000-07-01,744.0
2000-08-01,647.0
2000-09-01,675.0
2000-10-01,615.0
2000-11-01,578.0
2000-12-01,515.0
2001-01-01,448.0
2001-02-01,439.0
2001-03-01,535.0
2001-04-01,578.0
2001-05-01,817.0
2001-06-01,679.0
2001-07-01,921.0
2001-08-01,600.0
2001-09-01,643.0
2001-10-01,717.0
2001-11-01,568.0
2001-12-01,507.0
2002-01-01,431.0
2002-02-01,393.0
2002-03-01,520.0
2002-04-01,521.0
2002-05-01,654.0
2002-06-01,833.0
2002-07-01,865.0
2002-08-01,601.0
2002-09-01,621.0
2002-10-01,630.0
2002-11-01,563.0
2002-12-01,394.0
2003-01-01,358.0
2003-02-01,308.0
2003-03-01,476.0
2003-04-01,535.0
2003-05-01,632.0
2003-06-01,723.0
2003-07-01,644.0
2003-08-01,577.0
2003-09-01,560.0
2003-10-01,595.0
2003-11-01,464.0
2003-12-01,493.0
2004-01-01,377.0
2004-02-01,310.0
2004-03-01,403.0
2004-04-01,461.0
2004-05-01,600.0
2004-06-01,598.0
2004-07-01,811.0
2004-08-01,584.0
2004-09-01,659.0
2004-10-01,561.0
2004-11-01,439.0
2004-12-01,416.0
2005-01-01,306.0
2005-02-01,282.0
2005-03-01,385.0
2005-04-01,514.0
2005-05-01,618.0
2005-06-01,729.0
2005-07-01,675.0
2005-08-01,582.0
2005-09-01,825.0
2005-10-01,568.0
2005-11-01,458.0
2005-12-01,460.0
2006-01-01,364.0
2006-02-01,279.0
2006-03-01,375.0
2006-04-01,387.0
2006-05-01,564.0
2006-06-01,479.0
2006-07-01,787.0
2006-08-01,513.0
2006-09-01,490.0
2006-10-01,632.0
2006-11-01,468.0
2006-12-01,466.0
2007-01-01,268.0
2007-02-01,277.0
2007-03-01,347.0
2007-04-01,500.0
2007-05-01,591.0
2007-06-01,535.0
2007-07-01,511.0
2007-08-01,422.0
2007-09-01,462.0
2007-10-01,491.0
2007-11-01,405.0
2007-12-01,414.0
2008-01-01,307.0
2008-02-01,340.0
2008-03-01,254.0
2008-04-01,355.0
2008-05-01,534.0
2008-06-01,473.0
2008-07-01,538.0
2008-08-01,480.0
2008-09-01,422.0
2008-10-01,455.0
2008-11-01,321.0
2008-12-01,272.0
2009-01-01,223.0
2009-02-01,340.0
2009-03-01,245.0
2009-04-01,416.0
2009-05-01,535.0
2009-06-01,443.0
2009-07-01,556.0
2009-08-01,466.0
2009-09-01,452.0
2009-10-01,432.0
2009-11-01,366.0
2009-12-01,391.0
2010-01-01,192.0
2010-02-01,247.0
2010-03-01,341.0
2010-04-01,216.0
2010-05-01,389.0
2010-06-01,517.0
2010-07-01,721.0
2010-08-01,481.0
2010-09-01,534.0
2010-10-01,524.0
2010-11-01,383.0
2010-12-01,277.0
2011-01-01,328.0
2011-02-01,343.0
2011-03-01,425.0
2011-04-01,604.0
2011-05-01,765.0
2011-06-01,472.0
2011-07-01,637.0
2011-08-01,487.0
2011-09-01,519.0
2011-10-01,481.0
2011-11-01,438.0
2011-12-01,370.0
2012-01-01,338.0
2012-02-01,290.0
2012-03-01,526.0
2012-04-01,485.0
2012-05-01,719.0
2012-06-01,681.0
2012-07-01,730.0
2012-08-01,635.0
2012-09-01,632.0
2012-10-01,580.0
2012-11-01,471.0
2012-12-01,317.0
2013-01-01,320.0
2013-02-01,326.0
2013-03-01,350.0
2013-04-01,523.0
2013-05-01,530.0
2013-06-01,734.0
2013-07-01,976.0
2013-08-01,645.0
2013-09-01,617.0
2013-10-01,595.0
2013-11-01,483.0
2013-12-01,423.0
2014-01-01,412.0
2014-02-01,372.0
2014-03-01,559.0
2014-04-01,549.0
2014-05-01,671.0
2014-06-01,656.0
2014-07-01,783.0
2014-08-01,517.0
2014-09-01,620.0
2014-10-01,652.0
2014-11-01,464.0
2014-12-01,413.0
2015-01-01,334.0
2015-02-01,321.0
2015-03-01,471.0
2015-04-01,598.0
2015-05-01,604.0
2015-06-01,673.0
2015-07-01,809.0
2015-08-01,546.0
2015-09-01,614.0
2015-10-01,569.0
2015-11-01,506.0
2015-12-01,479.0
2016-01-01,380.0
2016-02-01,351.0
2016-03-01,370.0
2016-04-01,545.0
2016-05-01,602.0
2016-06-01,691.0
2016-07-01,742.0
2016-08-01,540.0
2016-09-01,759.0
2016-10-01,559.0
2016-11-01,489.0
2016-12-01,381.0
2017-01-01,307.0
2017-02-01,334.0
2017-03-01,486.0
2017-04-01,439.0
2017-05-01,631.0
2017-06-01,668.0
2017-07-01,752.0
2017-08-01,504.0
2017-09-01,546.0
2017-10-01,572.0
2017-11-01,443.0
2017-12-01,376.0
2018-01-01,350.0
2018-02-01,328.0
2018-03-01,383.0
2018-04-01,619.0
2018-05-01,640.0
2018-06-01,732.0
2018-07-01,852.0
2018-08-01,529.0
2018-09-01,645.0
2018-10-01,616.0
2018-11-01,485.0
2018-12-01,348.0
2019-01-01,297.0
2019-02-01,345.0
2019-03-01,427.0
2019-04-01,515.0
2019-05-01,484.0
2019-06-01,710.0
2019-07-01,898.0
2019-08-01,532.0
2019-09-01,609.0
2019-10-01,591.0
2019-11-01,453.0
2019-12-01,378.0
2020-01-01,360.0
2020-02-01,355.0
2020-03-01,334.0
2020-04-01,363.0
2020-05-01,464.0
2020-06-01,585.0
2020-07-01,821.0
2020-08-01,563.0
2020-09-01,634.0
2020-10-01,566.0
2020-11-01,348.0
2020-12-01,311.0
